date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:50	116/116	U-----	200	untouched ('OK')	text/plain	date:Sat,%2026%20Aug%202023%2000:08:28%20GMT	https://marinio.peerduck.com/robots.txt		(from )
21:10:50	320267/320267	U-----	200	untouched ('OK')	text/html	date:Sat,%2026%20Aug%202023%2000:08:28%20GMT	https://marinio.peerduck.com/home-scuba-diving-2/	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.peerduck.com/home-scuba-diving-2/index.html	(from )
21:12:33	24886/24886	U-----	200	untouched ('OK')	text/css	etag:W/%2262923fbf-6136%22	https://marinio.b-cdn.net/wp-content/uploads/premium-addons-elementor/pa-frontend-48caf9158.min.css?ver=1692974350	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/uploads/premium-addons-elementor/pa-frontend-48caf9158.min49b7.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:12:33	987/987	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c3-3db%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/add-to-cart-form.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/add-to-cart-form4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:12:33	12648/12648	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c5-3168%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:12:33	13525/13525	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c3-34d5%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/active-filters.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/active-filters4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:14:15	25008/25008	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c3-61b0%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/packages-style.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/packages-style4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:14:15	33349/33349	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c3-8245%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/all-products.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/all-products4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:14:15	11098/11098	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c3-2b5a%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/all-reviews.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/all-reviews4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
21:14:15	32447/32447	U-----	200	untouched ('OK')	text/css	etag:W/%2264de82c4-7ebf%22	https://marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/attribute-filter.css?ver=10.6.5	C:/Users/nican/OneDrive/Escritorio/Cholo/cholo2/marinio.b-cdn.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/attribute-filter4031.css	(from https://marinio.peerduck.com/home-scuba-diving-2/)
